기업명,년도,시즌,직무,채용타입,해시,해시끝5자리
인공지능팩토리,2025,상반기,마케팅직무,채용형인턴,ac7bbafe298e38abcf90fc1b02bd1c74b5295664ac86bfbe4206c571daa2908a,2908a
애자일소다,2025,하반기,데이터사이언티스트,인턴,f009aec594ea30e7fd0fb217fb7ed41463d7f41a623dc59230137955b5d28c38,28c38
